Date,Location
02/02/2015(37.7773918242817, -122.397615567933)
02/01/2015(37.7736351065468, -122.440923876434)
02/02/2015(37.7171486722748, -122.439992498876)
02/02/2015(37.7841893501425, -122.407633520742)
02/02/2015(37.7431744969963, -122.474102710416)
02/02/2015(37.7431744969963, -122.474102710416)
02/02/2015(37.793700947263, -122.421387229832)
01/23/2014(37.7090849156407, -122.461139183524)
02/01/2015(37.7747600205915, -122.454636839495)
01/30/2015(37.7841893501425, -122.407633520742)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7644225165568, -122.416374835778)
02/02/2015(37.7644225165568, -122.416374835778)
02/01/2015(37.8082613305439, -122.414988252591)
01/25/2015(37.7813626132552, -122.45945169075)
01/26/2015(37.7120558827519, -122.451954177946)
02/02/2015(37.7840428115732, -122.403715607574)
02/02/2015(37.7572927810101, -122.395771897062)
02/02/2015(37.7572927810101, -122.395771897062)
02/02/2015(37.7842973843312, -122.410157073911)
02/02/2015(37.755343095442, -122.406681057265)
02/02/2015(37.7429970144076, -122.421644478447)
01/30/2015(37.7802655777189, -122.403390364796)
02/02/2015(37.7760967348453, -122.40856429774)
01/31/2015(37.7746631001641, -122.461744585248)
01/31/2015(37.7734138699876, -122.419183647219)
02/02/2015(37.7771309690233, -122.415740127984)
02/02/2015(37.7852686309087, -122.403070000847)
02/02/2015(37.7355926105862, -122.390416955474)
02/02/2015(37.7355926105862, -122.390416955474)
02/01/2014(37.78764305018, -122.403434086745)
02/02/2015(37.7256933575703, -122.452289660492)
02/02/2015(37.7842973843312, -122.410157073911)
02/02/2015(37.7800332991006, -122.464279879446)
02/02/2015(37.7340319720999, -122.389471535682)
02/02/2015(37.7340319720999, -122.389471535682)
02/02/2015(37.7340319720999, -122.389471535682)
02/02/2015(37.7378517637694, -122.436278384006)
01/21/2015(37.7801134973164, -122.40989282029)
02/02/2015(37.7956830656712, -122.419955910836)
02/02/2015(37.8041769417232, -122.417487999146)
02/02/2015(37.7799444052046, -122.414317857881)
02/02/2015(37.7799444052046, -122.414317857881)
02/02/2015(37.793700947263, -122.421387229832)
02/01/2015(37.7182677028816, -122.393038835144)
02/01/2015(37.7554018489917, -122.47000800007)
02/02/2015(37.7811656530832, -122.458290531535)
02/02/2015(37.775420706711, -122.403404791479)
02/01/2015(37.783111556712, -122.442027369265)
02/02/2014(37.7743242867908, -122.417104895556)
02/02/2015(37.7867834304358, -122.399787632605)
02/02/2015(37.7867834304358, -122.399787632605)
02/02/2015(37.7667916111324, -122.440720545257)
02/02/2015(37.7800763782418, -122.435426671978)
02/02/2015(37.7800763782418, -122.435426671978)
02/02/2015(37.7865647607685, -122.407244087032)
02/02/2015(37.7865647607685, -122.407244087032)
